Marca,Modelo_Familia,Segmento,Periodo,Motorizaciones,Tipo_Propulsion,Distribucion,Aceite_Sugerido,Intervalo_Filtros,Punto_Critico_Taller
Volkswagen,Gol / Gol Trend,B,2000-2021,1.6 8v (EA111) / 1.0 8v,Nafta / GNC,Correa (60k km / 5 años),10W-40 Semicintético / 5W-40 Sintético,10.000 km / 1 año,"Bomba de agua, bobinas de encendido y juego de cables de bujías."
Volkswagen,Amarok,Pickup,2010-2026,2.0 TDI (Mono/Bi-Turbo) / 3.0 V6 TDI,Diésel,Correa (90k km),5W-30 Sintético (Norma VW 507.00 obligatorio),10.000 km,Correa Poli-V (auxiliar) que se mete en la distribución; saturación de DPF por gasoil común.
Toyota,Hilux,Pickup,2000-2026,3.0 D-4D (1KD) / 2.4 GD (2GD) / 2.8 GD (1GD),Diésel,Cadena (Revisión 150k km),5W-30 / 5W-40 ACEA C3 (Bajo en cenizas para DPF moderno),10.000 km,Filtro de combustible muy sensible; limpieza preventiva de válvula EGR.
Toyota,Corolla / Corolla Cross,C / SUV-C,2000-2026,1.8 16v (1ZZ/2ZR) / 2.0 Dynamic Force / 1.8 Híbrido,Nafta / Híbrido (HEV),Cadena (Libre de mant.),0W-20 Sintético (Motores modernos) / 5W-30,10.000 km / 1 año,Reemplazo de fluido CVT cada 80k km; limpieza del filtro de aire de la batería híbrida.
Toyota,Yaris,B,2016-2026,1.5 16v Dual VVT-i (2NR-FE),Nafta,Cadena,0W-20 / 5W-30 Sintético,10.000 km,Cambio de fluido de caja CVT y mantenimiento del sistema de frenos trasero.
Fiat,Cronos / Argo,B,2018-2026,1.3 8v Firefly / 1.8 16v E.torQ,Nafta / GNC,Cadena,0W-20 Sintético (Firefly) / 5W-30 (E.torQ),10.000 km,Control de consumo de aceite en los primeros kilómetros; limpieza de cuerpo de mariposa.
Fiat,Palio / Uno / Siena,B,2000-2018,1.3 8v / 1.4 8v Fire / 1.6 16v Torque/E.torQ,Nafta / GNC,Correa (Fire: 60k km),10W-40 Semicintético / 15W-40,10.000 km,Pérdidas de aceite por junta de tapa de válvulas; estado de mangueras de refrigerante.
Chevrolet,Corsa / Classic / Joy / Prism,B,2000-2023,1.6 8v / 1.4 8v MPFI,Nafta / GNC,Correa (50k-60k km),10W-40 Semicintético / 5W-30 Sintético,10.000 km,Fallas en el termostato (se traba cerrado); desgaste de sensor paso a paso (IAC).
Chevrolet,Tracker,SUV-B,2013-2026,1.8 Ecotec / 1.2 Turbo 3cil,Nafta,Correa Bañada en Aceite (1.2T),5W-30 (Norma Dexos 1 Gen 3 estrictamente obligatorio para 1.2T),10.000 km / 1 año,"La correa bañada se desarma si se usa aceite sin norma Dexos, tapando el chupador de aceite."
Peugeot,206 / 207 / 208,B,2000-2026,1.6 16v (TU5 / EC5) / 1.2 3cil / 1.9 D,Nafta / Diésel,Correa (60k km o 5 años),10W-40 (Motores viejos) / 5W-30 o 0W-30 Sintético,10.000 km / 1 año,Desgaste prematuro de bujes de parrilla y eje trasero; fallas eléctricas en módulo BSI.
Ford,Ranger,Pickup,2000-2026,3.0 PowerStroke / 2.2 y 3.2 Puma / 2.0 Panther / V6,Diésel / Nafta,Cadena (Puma) / Correa Bañada (Panther),5W-30 (Norma Ford WSS-M2C913-D / WSS-M2C950-A),10.000 km,Rotura de mangueras de intercooler; sensores de temperatura de escape del DPF.
Ford,Focus / EcoSport,C / SUV-B,2000-2021,1.6 Sigma / 2.0 Duratec / 1.5 3cil Dragon,Nafta / GNC / Diésel,Correa (Sigma) / Cadena (Duratec),5W-30 Sintético,10.000 km,Caja automática PowerShift (módulo TCM y actuadores dobles); vibración de patas de motor.
Ford,Territory,SUV-C,2020-2026,1.5 Turbo / 1.8 Turbo EcoBoost (JMC),Nafta (Origen China),Cadena,5W-30 / 5W-20 Sintético API SP,10.000 km,Actualización de software de caja automática DCT; control de temperatura de transmisión.
Nissan,Frontier,Pickup,2000-2026,2.5 TDI / 2.3 Bi-Turbo (M9T Renault),Diésel,Cadena,5W-30 Low SAPS (ACEA C3 obligatorio para Euro 5/6),10.000 km,Sensor de contrapresión de gases de escape; bimasa de embrague en cajas manuales.
Nissan,Kicks / March / Versa / Sentra,SUV-B / B / C,2010-2026,1.6 16v (HR16DE) / 1.8 16v / 2.0 16v,Nafta,Cadena,5W-30 / 0W-20 Sintético,10.000 km / 1 año,Fluido de caja automática CVT (Usar estrictamente Nissan NS-3) cada 60k km obligatorios.
BYD,Dolphin Mini / Yuan Pro / Atto 3,A / B / C (SUV),2024-2026,Motor Eléctrico Sincrónico,Eléctrico Puro (BEV),No aplica,No lleva aceite de motor (Aceite reductor interno sellado),20.000 km (Habitáculo),Revisión de líquido refrigerante de batería de tracción; estado físico de celdas inferiores.
BYD,Song Pro / Song Plus,SUV-C,2024-2026,1.5 Nafta Atkinson + Motor Eléctrico,Híbrido Enchufable (PHEV),Cadena,0W-20 Sintético API SP / ILSAC GF-6,10.000 km (o ciclos de motor término),Estabilizador de combustible obligatorio si el usuario no consume la nafta del tanque por meses.
BAIC,BJ30 / X55 / X35,SUV-B / SUV-C,2018-2026,1.5 Turbo Nafta / 1.5T Híbrido,Nafta / Híbrido (HEV),Cadena,5W-30 o 0W-20 que cumpla estrictamente norma API SP,10.000 km,Riesgo de LSPI (Preignición a baja velocidad) si se usan aceites antiguos (API SN o inferiores).
Chery,"Tiggo (2, 4, 7, 8 Pro)",SUV-B / SUV-C / SUV-D,2008-2026,2.0 Acteco / 1.5 Nafta / 1.5 Turbo / 1.6T,Nafta / Micro-Híbrido (MHEV),Cadena (Modelos modernos) / Correa (Tiggo viejas 2.0),5W-30 Sintético SN/SP,10.000 km,Calibración electrónica periódica de la caja DCT de doble embrague; sensores de ABS.
Renault,Clio / Mio / Sandero / Logan / Kangoo,B / Utilitario,2000-2026,1.2 16v (D4F) / 1.6 16v (K4M) / 1.6 SCe (HR16) / 1.5 dCi,Nafta / GNC / Diésel,Correa (K4M/D4F - 60k km) / Cadena (SCe),10W-40 Semicintético / 5W-40 Sintético,10.000 km,Rotura de polea del alternador; depósitos de carbón en la mariposa; fugas en porta-termostato.
